date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:14	634/634	---MCZ	200	added ('OK')	application/javascript	etag:W/%22182629091801fba15569792090331484%22	https://picocss.com/build/_shared/chunk-GL7VW4BM.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-GL7VW4BM.js	(from https://picocss.com/docs)
15:49:14	592/592	---MCZ	200	added ('OK')	application/javascript	etag:W/%22649b4250989c0b11c0b43baf6ef87dcb%22	https://picocss.com/build/_shared/chunk-JT4PCSGL.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-JT4PCSGL.js	(from https://picocss.com/docs)
15:49:14	2207/2207	---MCZ	200	added ('OK')	application/javascript	etag:W/%22953c9b1d5127abcf8993a78a5b5ff0d7%22	https://picocss.com/build/_shared/chunk-BZ4AUIAY.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-BZ4AUIAY.js	(from https://picocss.com/docs)
15:49:15	1073/1073	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e8e776485b6afc56092509376d17720%22	https://picocss.com/build/_shared/chunk-PGB5EDTS.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-PGB5EDTS.js	(from https://picocss.com/docs)
15:49:15	824/824	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f127eb62e5e689fa9332a35741f61aab%22	https://picocss.com/build/_shared/chunk-SNDHQUDE.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-SNDHQUDE.js	(from https://picocss.com/docs)
15:49:15	422/422	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a7a979251876edaa448038ec19f3476f%22	https://picocss.com/build/_shared/chunk-OLA7NHCU.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-OLA7NHCU.js	(from https://picocss.com/docs)
15:49:15	315/315	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c0c9b576c0a14fb2f4153104059f0281%22	https://picocss.com/build/_shared/chunk-UUMWCJG3.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-UUMWCJG3.js	(from https://picocss.com/docs)
15:49:16	443/443	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b043957489b764ac7bbbb2182effc633%22	https://picocss.com/build/_shared/chunk-WBY45DIQ.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-WBY45DIQ.js	(from https://picocss.com/docs)
15:49:16	10175/10175	---MCZ	200	added ('OK')	application/javascript	etag:W/%229ace65c7bfdc9f44bd2fce1eec0ea9e1%22	https://picocss.com/build/root-I2MRZBVA.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/root-I2MRZBVA.js	(from https://picocss.com/docs)
15:49:16	443/443	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b3eb0d6ec5e0c711fd121287eaafac65%22	https://picocss.com/build/_shared/chunk-TDEEKD4Z.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-TDEEKD4Z.js	(from https://picocss.com/docs)
15:49:16	219/219	---MCZ	200	added ('OK')	application/javascript	etag:W/%229408383cae92608d4b564fc71ce101e6%22	https://picocss.com/build/_shared/chunk-OL3D475K.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-OL3D475K.js	(from https://picocss.com/docs)
15:49:16	412/412	---MCZ	200	added ('OK')	application/javascript	etag:W/%226336e3064195fdfd849035cacf38e828%22	https://picocss.com/build/_shared/chunk-Y7NYAR5B.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-Y7NYAR5B.js	(from https://picocss.com/docs)
15:49:17	155713/155713	---MCZ	200	added ('OK')	application/javascript	etag:W/%22352b8714be1f755e3c183399c9771a25%22	https://picocss.com/build/_shared/chunk-JRCO4XTU.js	C:/Web%20Archive/PicoCSS/PicoCSS/picocss.com/build/_shared/chunk-JRCO4XTU.js	(from https://picocss.com/docs)
